,customer_id,customer_name,customer_name_masked
0,CG-12520,Claire Gute,C G
1,CG-12520,Claire Gute,C G
2,DV-13045,Darrin Van Huff,D H
3,SO-20335,Sean O'Donnell,S O
4,SO-20335,Sean O'Donnell,S O
5,BH-11710,Brosina Hoffman,B H
6,BH-11710,Brosina Hoffman,B H
7,BH-11710,Brosina Hoffman,B H
8,BH-11710,Brosina Hoffman,B H
9,BH-11710,Brosina Hoffman,B H
10,BH-11710,Brosina Hoffman,B H
11,BH-11710,Brosina Hoffman,B H
12,AA-10480,Andrew Allen,A A
13,IM-15070,Irene Maddox,I M
14,HP-14815,Harold Pawlan,H P
15,HP-14815,Harold Pawlan,H P
16,PK-19075,Pete Kriz,P K
17,AG-10270,Alejandro Grove,A G
18,ZD-21925,Zuschuss Donatelli,Z D
19,ZD-21925,Zuschuss Donatelli,Z D
20,KB-16585,Ken Black,K B
21,KB-16585,Ken Black,K B
22,SF-20065,Sandra Flanagan,S F
23,EB-13870,Emily Burns,E B
24,EH-13945,Eric Hoffmann,E H
25,EH-13945,Eric Hoffmann,E H
26,TB-21520,Tracy Blumstein,T B
27,TB-21520,Tracy Blumstein,T B
28,TB-21520,Tracy Blumstein,T B
29,TB-21520,Tracy Blumstein,T B
30,TB-21520,Tracy Blumstein,T B
31,TB-21520,Tracy Blumstein,T B
32,TB-21520,Tracy Blumstein,T B
33,MA-17560,Matt Abelman,M A
34,GH-14485,Gene Hale,G H
35,GH-14485,Gene Hale,G H
36,SN-20710,Steve Nguyen,S N
37,SN-20710,Steve Nguyen,S N
38,SN-20710,Steve Nguyen,S N
39,SN-20710,Steve Nguyen,S N
40,LC-16930,Linda Cazamias,L C
41,RA-19885,Ruben Ausman,R A
42,ES-14080,Erin Smith,E S
43,ON-18715,Odella Nelson,O N
44,ON-18715,Odella Nelson,O N
45,PO-18865,Patrick O'Donnell,P O
46,LH-16900,Lena Hernandez,L H
47,LH-16900,Lena Hernandez,L H
48,DP-13000,Darren Powers,D P
49,DP-13000,Darren Powers,D P
50,DP-13000,Darren Powers,D P
51,DP-13000,Darren Powers,D P
52,JM-15265,Janet Molinari,J M
53,JM-15265,Janet Molinari,J M
54,TB-21055,Ted Butterfield,T B
55,TB-21055,Ted Butterfield,T B
56,TB-21055,Ted Butterfield,T B
57,TB-21055,Ted Butterfield,T B
58,TB-21055,Ted Butterfield,T B
59,TB-21055,Ted Butterfield,T B
60,TB-21055,Ted Butterfield,T B
61,KM-16720,Kunst Miller,K M
62,KM-16720,Kunst Miller,K M
63,KM-16720,Kunst Miller,K M
64,KM-16720,Kunst Miller,K M
65,PS-18970,Paul Stevenson,P S
66,BS-11590,Brendan Sweed,B S
67,BS-11590,Brendan Sweed,B S
68,KD-16270,Karen Daniels,K D
69,HM-14980,Henry MacAllister,H M
70,TB-21520,Tracy Blumstein,T B
71,JE-15745,Joel Eaton,J E
72,JE-15745,Joel Eaton,J E
73,JE-15745,Joel Eaton,J E
74,KB-16600,Ken Brennan,K B
75,KB-16600,Ken Brennan,K B
76,KB-16600,Ken Brennan,K B
77,JE-15745,Joel Eaton,J E
78,SC-20770,Stewart Carmichael,S C
79,SC-20770,Stewart Carmichael,S C
80,DN-13690,Duane Noonan,D N
81,DN-13690,Duane Noonan,D N
82,JC-16105,Julie Creighton,J C
83,CS-12400,Christopher Schild,C S
84,PO-18865,Patrick O'Donnell,P O
85,PG-18895,Paul Gonzalez,P G
86,PG-18895,Paul Gonzalez,P G
87,GM-14455,Gary Mitchum,G M
88,JS-15685,Jim Sink,J S
89,JS-15685,Jim Sink,J S
90,JS-15685,Jim Sink,J S
91,KB-16315,Karl Braun,K B
92,KB-16315,Karl Braun,K B
93,KB-16315,Karl Braun,K B
94,RB-19705,Roger Barcio,R B
95,PN-18775,Parhena Norris,P N
96,KD-16345,Katherine Ducich,K D
97,ER-13855,Elpida Rittenbach,E R
98,RB-19465,Rick Bensley,R B
99,RB-19465,Rick Bensley,R B
100,RB-19465,Rick Bensley,R B
101,GZ-14470,Gary Zandusky,G Z
102,LC-16870,Lena Cacioppo,L C
103,LC-16870,Lena Cacioppo,L C
104,LC-16870,Lena Cacioppo,L C
105,JM-15250,Janet Martin,J M
106,JM-15250,Janet Martin,J M
107,JM-15250,Janet Martin,J M
108,PA-19060,Pete Armstrong,P A
109,CV-12805,Cynthia Voltz,C V
110,CL-12565,Clay Ludtke,C L
111,CL-12565,Clay Ludtke,C L
112,RC-19960,Ryan Crowe,R C
113,RC-19960,Ryan Crowe,R C
114,RC-19960,Ryan Crowe,R C
115,RC-19960,Ryan Crowe,R C
116,DK-13090,Dave Kipp,D K
117,GG-14650,Greg Guthrie,G G
118,SC-20725,Steven Cartwright,S C
119,SC-20725,Steven Cartwright,S C
120,SC-20725,Steven Cartwright,S C
121,SC-20725,Steven Cartwright,S C
122,SC-20725,Steven Cartwright,S C
123,AD-10180,Alan Dominguez,A D
124,PF-19165,Philip Fox,P F
125,TS-21610,Troy Staebel,T S
126,TS-21610,Troy Staebel,T S
127,LS-16975,Lindsay Shagiari,L S
128,LS-16975,Lindsay Shagiari,L S
129,DW-13585,Dorothy Wardle,D W
130,DW-13585,Dorothy Wardle,D W
131,DW-13585,Dorothy Wardle,D W
132,LC-16885,Lena Creighton,L C
133,LC-16885,Lena Creighton,L C
134,LC-16885,Lena Creighton,L C
135,LC-16885,Lena Creighton,L C
136,LC-16885,Lena Creighton,L C
137,LC-16885,Lena Creighton,L C
138,LC-16885,Lena Creighton,L C
139,JD-15895,Jonathan Doherty,J D
140,SH-19975,Sally Hughsby,S H
141,SH-19975,Sally Hughsby,S H
142,SH-19975,Sally Hughsby,S H
143,SG-20080,Sandra Glassco,S G
144,HA-14920,Helen Andreada,H A
145,MG-17680,Maureen Gastineau,M G
146,JE-16165,Justin Ellison,J E
147,JE-16165,Justin Ellison,J E
148,JE-16165,Justin Ellison,J E
149,JE-16165,Justin Ellison,J E
150,TW-21025,Tamara Willingham,T W
151,TW-21025,Tamara Willingham,T W
152,SP-20650,Stephanie Phelps,S P
153,SP-20650,Stephanie Phelps,S P
154,SP-20650,Stephanie Phelps,S P
155,NK-18490,Neil Knudson,N K
156,DB-13060,Dave Brooks,D B
157,NP-18670,Nora Paige,N P
158,NP-18670,Nora Paige,N P
159,TT-21070,Ted Trevino,T T
160,EM-13960,Eric Murdock,E M
161,RD-19900,Ruben Dartt,R D
162,MJ-17740,Max Jones,M J
163,BM-11140,Becky Martin,B M
164,BM-11140,Becky Martin,B M
165,BM-11140,Becky Martin,B M
166,BM-11140,Becky Martin,B M
167,BM-11140,Becky Martin,B M
168,BM-11140,Becky Martin,B M
169,BM-11140,Becky Martin,B M
170,CS-12130,Chad Sievert,C S
171,CS-12130,Chad Sievert,C S
172,CS-12130,Chad Sievert,C S
173,JB-15400,Jennifer Braxton,J B
174,JB-15400,Jennifer Braxton,J B
175,SJ-20500,Shirley Jackson,S J
176,JE-15745,Joel Eaton,J E
177,JE-15745,Joel Eaton,J E
178,JK-15640,Jim Kriz,J K
179,DK-13150,David Kendrick,D K
180,DK-13150,David Kendrick,D K
181,RM-19675,Robert Marley,R M
182,RM-19675,Robert Marley,R M
183,RM-19675,Robert Marley,R M
184,SK-19990,Sally Knutson,S K
185,FM-14290,Frank Merwin,F M
186,AM-10360,Alice McCarthy,A M
187,AM-10360,Alice McCarthy,A M
188,MP-17470,Mark Packer,M P
189,MP-17470,Mark Packer,M P
190,MP-17470,Mark Packer,M P
191,MP-17470,Mark Packer,M P
192,MP-17470,Mark Packer,M P
193,MZ-17515,Mary Zewe,M Z
194,CB-12025,Cassandra Brandow,C B
195,CB-12025,Cassandra Brandow,C B
196,VM-21685,Valerie Mitchum,V M
197,FH-14365,Fred Hopkins,F H
198,FH-14365,Fred Hopkins,F H
199,MB-17305,Maria Bertelson,M B
200,BS-11755,Bruce Stewart,B S
